date,maxtp(Maximum Air Temperature - degrees C),mintp(Minimum Air Temperature - degrees C),gmin(Grass Minimum Temperature - degrees C),rain(Precipitation Amount - mm),cbl (Mean CBL Pressure-hpa),wdsp(Mean Wind Speed - knot),pe(Potential Evapotranspiration - mm),evap(Evaporation -mm)
24-Feb-42,3.9,-2.7,-4.6,0,999.9,2.2,0.5,0.7
25-Feb-42,6.2,-2.2,-8.3,0.1,1004.7,2,0.6,1
26-Feb-42,7.3,-4.3,-10.7,0,1007.7,3.1,0.7,1.1
27-Feb-42,7.4,2.2,-4.3,7,1001.8,11.8,0.8,1.2
28-Feb-42,8.3,0.7,-0.6,7.9,996.8,5.9,0.6,0.8
1-Mar-42,5.8,3.3,2.8,0.3,1002.1,10.6,0.7,1.1
2-Mar-42,6.1,2.1,1.7,0,1004.2,21.6,0.6,1.1
3-Mar-42,7.6,5.7,5,1.2,997.5,23.3,0.5,1
4-Mar-42,11.6,6.1,5.9,7.7,992,9.1,1,1.4
5-Mar-42,6.2,-0.8,0.1,14.5,997.6,15.8,0.5,0.9
6-Mar-42,0.9,-4.4,-1,12.2,1000.5,6.8,0.4,0.7
7-Mar-42,5.4,-6.1,-8.3,0,1003.2,10.4,0.8,1.2
8-Mar-42,7,3.6,0.8,8.8,1001,16.3,0.9,1.4
9-Mar-42,4.6,1.4,1.6,6.9,1003.5,8.3,0.5,0.8
10-Mar-42,6.7,4.4,3.3,0,1006.1,7.9,0.7,1
11-Mar-42,5.8,3.4,1.6,0.3,1004.9,7.5,0.8,1.1
12-Mar-42,7.2,4.4,1.8,3,998.6,14.9,0.5,0.9
13-Mar-42,6.1,5,3.7,2.5,991.1,17,0.6,1.1
14-Mar-42,10.6,5.2,4.4,3.9,987.3,11.2,0.7,1.1
15-Mar-42,14.8,6.3,3.1,0.7,991.3,13.1,1.4,2
16-Mar-42,12.5,6.3,2.8,2.5,991,14.9,0.7,1.2
17-Mar-42,14.4,6.2,1.1,0.5,986.5,5.5,1.3,1.7
18-Mar-42,11.1,4.5,1.7,0,988.8,5.3,0.8,1.1
19-Mar-42,9.9,6.1,3.2,1.8,997.8,5.1,0.8,1.1
20-Mar-42,11.7,4.9,4.4,0,1006.8,7.2,1.4,1.9
21-Mar-42,11.6,1.3,0.8,0,1013.3,6.2,1.4,2.2
22-Mar-42,11,2.8,2.2,0,1020.2,5.7,1.2,1.9
23-Mar-42,11.2,0.3,-0.4,0,1022.8,3.7,1.3,1.8
24-Mar-42,16.2,0.7,-2.1,0,1018.4,3.5,1.9,2.7
25-Mar-42,9.9,1.6,1.1,0,1014.3,7.3,0.9,1.4
26-Mar-42,7.8,1.3,-0.6,0,1008.2,9.8,0.9,1.4
27-Mar-42,9.2,4.5,2.5,0,1002.7,12.1,1.4,2.2
28-Mar-42,6.8,3.7,3.6,0,1005.6,14.2,1.4,2.1
29-Mar-42,9.8,4.9,3.9,1.4,1002.6,10.4,1,1.4
30-Mar-42,16,4.4,2.8,0.2,996.8,11.1,1.5,2.2
31-Mar-42,14.8,6,7.6,8,989.8,17.1,1.9,2.9
1-Apr-42,8.9,3.1,2.7,8.7,996.5,25,1.7,3.2
2-Apr-42,10.4,0.8,0,0.3,1004.9,13.2,1.6,2.7
3-Apr-42,9.7,3.3,5.6,3.1,997.2,12.9,1.4,2.1
4-Apr-42,9.8,1.1,-0.4,3.5,983.3,14.4,1,1.6
5-Apr-42,12.2,6.1,4.4,2.8,978.4,22,2.4,4.2
6-Apr-42,13.4,6.4,5.7,5.3,978.8,20.3,2.4,3.7
7-Apr-42,12.3,4.9,3.9,2.6,977.5,18.6,2,3.2
8-Apr-42,9.4,2.4,1.3,0.6,989.3,23.7,2.1,3.8
9-Apr-42,12.3,6,2.7,3.6,982.5,19,2.1,3.3
10-Apr-42,13.5,4.5,3.3,0,999,17.1,2.4,3.9
11-Apr-42,15.7,8.6,7.8,0,1007.8,15,2.1,3.5
12-Apr-42,12.9,9.1,9.1,0.1,1001.3,19.8,1.7,2.6
13-Apr-42,10.2,6.8,8.2,2.8,1003.2,4.6,0.9,1.3
14-Apr-42,11,5.7,6.4,0,1013.4,10.7,1.8,2.9
15-Apr-42,14.4,3.1,0.6,0,1020.8,8.3,2.5,3.8
16-Apr-42,16.2,4.4,1.2,0,1018.2,5.3,3,4.2
17-Apr-42,12.7,4.2,1.8,0,1009.7,10.7,2.5,3.9
18-Apr-42,12.7,5.6,4,0,999.8,9.2,2.3,3.5
19-Apr-42,11.4,5.4,4.4,0,997.5,6.1,1.5,2.1
20-Apr-42,13.1,5.7,4.4,0,1002.4,9.2,2.1,2.8
21-Apr-42,12.1,7,6.1,0,1005.7,5.5,2.1,2.8
22-Apr-42,13.9,7.3,5.6,0,1006.1,3,1.8,2.4
23-Apr-42,9.9,5.7,6.8,3.4,1010,13.5,1.2,2
24-Apr-42,8.4,4.6,3.8,0.1,1013.6,19.9,2.2,4.1
25-Apr-42,10.8,3.3,1.8,0,1009.9,20.9,2.8,5
26-Apr-42,10.7,3.7,2.3,0,1006.8,21.9,2.6,4.8
27-Apr-42,13.1,4.9,2.8,0,1008,20.1,3,5
28-Apr-42,12.4,5.4,5.1,0,1010.7,23,3.3,5.8
29-Apr-42,11.7,4.9,3.8,0,1013,25.3,2.8,4.8
30-Apr-42,12.2,4.4,2.7,0,1016.8,14.8,3,4.9
1-May-42,17.2,2.8,-0.6,0,1014.7,5.3,3.3,4.6
2-May-42,14.1,1.8,-0.7,0,1012,6.5,3,4.3
3-May-42,17.9,3.3,0.3,0,1014.7,7.4,3.5,5
4-May-42,17.3,3.2,0.2,0,1017.3,5.9,3.1,4.4
5-May-42,18.4,7.3,6.5,0,1015.7,12.6,3.6,5.2
6-May-42,20.9,5.6,4.4,0,1009.7,17.3,5,7.4
7-May-42,15.4,7.8,7.8,0,1006.3,10.4,2.1,2.9
8-May-42,10.7,6.9,6.7,0.4,1006.2,11.7,1.4,2.2
9-May-42,11.8,5.6,4.4,0,1005.4,17.9,2.8,5.1
10-May-42,10.1,4.9,3.8,5.1,1001.2,20.4,2.1,3.9
11-May-42,8.4,5.6,5,5.9,996.1,16.8,1.2,2.2
12-May-42,10.3,6.2,5.9,0,994.5,17.3,1.9,3.2
13-May-42,11.2,4.4,6,0,999.7,9.7,2.6,4.2
14-May-42,14.4,4.4,3.9,0,1004,8.5,2.3,3.6
15-May-42,10.9,8.4,6.8,12.5,999,13.2,1.1,2
16-May-42,16.9,8.1,4.6,0.7,995.8,13.8,2.6,4.1
17-May-42,13.8,8.3,4.4,26.7,996.3,13.4,1.6,2.6
18-May-42,16.2,9,9.4,1.6,997.6,10,2.1,3.1
19-May-42,18.4,9,7.6,3.9,1005.5,8.6,3,4.4
20-May-42,15.6,8.1,7.4,1,1006,5.7,1.8,2.5
21-May-42,15.1,8.9,3.4,0,1001.8,5,1.7,2.3
22-May-42,15.8,8.3,7.9,2.1,1002.3,9.3,2.7,4.1
23-May-42,11.8,6.6,3.9,8.5,994.1,16,1.2,2.1
24-May-42,14.3,5.2,3.8,4,993.9,17.4,2.7,4.8
25-May-42,12.4,4.6,5.6,8.1,986.7,17.5,2.1,3.7
26-May-42,12.2,7.2,4.2,2.6,980.4,20.2,2.3,3.8
27-May-42,14.8,7.4,5.7,2.6,976,20.5,4,6.2
28-May-42,15.8,6.1,5.9,5.5,979,13,2.4,3.9
29-May-42,14.9,7.6,1.3,8.3,992.7,8.3,2.4,3.6
30-May-42,15.2,5.9,4.9,8.7,1000.5,6.2,2.4,3.5
31-May-42,15.7,6.8,5.5,0,1008.1,7.4,3.3,5
1-Jun-42,18.3,11.3,7.3,0,1012.3,18.8,2.5,4
2-Jun-42,20.4,11.8,11.8,0,1016.7,16.1,3.4,5.5
3-Jun-42,23.7,9,5.2,0,1019.6,8.6,4.6,6.6
4-Jun-42,24.1,11.6,6,0,1019.2,7,4.4,6.3
5-Jun-42,23.9,11.2,9.7,0,1016.3,5.1,4.2,5.7
6-Jun-42,22.5,7.1,7.9,0,1012.3,10.5,3.3,5
7-Jun-42,15.3,4.4,2.8,0,1014.4,14.9,2.8,5
8-Jun-42,14.8,5.2,3.9,0,1013.9,13.1,3.2,5.3
9-Jun-42,13,3.6,1.8,0,1011.8,10.8,2,3
10-Jun-42,13.9,7.1,6.7,0,1009.9,5.8,2.7,3.7
11-Jun-42,14.9,3.9,0.2,0,1007.8,3.3,3.1,4.3
12-Jun-42,14.4,4.3,6.8,0.5,1002.3,9.7,2.5,3.7
13-Jun-42,14.4,1.4,0.1,0,1000.7,7.6,2.5,3.8
14-Jun-42,12.6,4.2,-0.9,2.9,1002,6.4,1.7,2.5
15-Jun-42,14.4,5.7,2.3,0,1004.8,10.1,2.3,3.5
16-Jun-42,15.5,8.7,7.7,0,1004.8,9.2,2.9,4.3
17-Jun-42,15.7,6.2,4.7,0,1002.6,11.7,2.1,3.2
18-Jun-42,16.1,8.9,10.8,0.5,1006.4,9.6,2.4,3.8
19-Jun-42,18.8,7.9,1.5,0,1011.8,8.6,3.4,5.3
20-Jun-42,21.3,11.9,7.5,0,1013.3,6.7,3.1,4.3
21-Jun-42,23.3,14.8,15,0,1010.7,7.2,3.5,4.6
22-Jun-42,19.4,11.3,12.4,0,1007.8,10.9,2.8,3.9
23-Jun-42,19.2,8,6.9,0,1010.3,8.9,3.5,5.2
24-Jun-42,16.1,11.3,11.3,0,1014.5,9.6,2.3,3.1
25-Jun-42,17.3,5.8,4.2,0,1017.7,8.4,3.6,5.5
26-Jun-42,17.8,7.4,2.8,0,1017.8,3.8,2.3,3.1
27-Jun-42,18.9,8.8,3.9,0,1013.8,11.1,2.7,3.9
28-Jun-42,22.9,12.7,12.4,0.1,1011.5,11.3,4.3,6.2
29-Jun-42,20.6,11.1,13.7,0,1014.6,10.7,2.8,4
30-Jun-42,17.3,10.4,6.1,0,1014.2,7.2,3.1,4.3
1-Jul-42,17.7,7.2,2.4,0,1010.4,5.5,3.5,5
2-Jul-42,21.3,8.4,2.4,0.2,1005.2,13,3.2,4.8
3-Jul-42,20.1,13.4,13.4,3.7,997.7,14.2,2.1,3.1
4-Jul-42,20.3,9.8,7.3,0,994.2,12.6,3.5,5.5
5-Jul-42,20,11.6,10.6,8.8,991.7,19.3,4.1,6.7
6-Jul-42,19.9,10.6,8.7,2.3,993.3,15.4,3.7,5.6
7-Jul-42,17.3,10.1,8.1,0.7,997.8,13.2,3.3,5
8-Jul-42,18.1,9.1,7.2,4.2,1003,18.1,3.1,5.1
9-Jul-42,18.1,9.4,8.6,0.8,1006.1,10.5,2.7,4
10-Jul-42,16.8,7.8,6.6,3.6,1004.9,11.5,3,4.6
11-Jul-42,17.2,8.6,7.2,0,1006.9,11.5,2.9,4.3
12-Jul-42,17.8,9.5,7.4,0,1009.6,6.9,2,2.7
13-Jul-42,19.4,10.6,12,0.4,1008.7,13.5,2.3,3.4
14-Jul-42,19.2,8.9,7.3,0,1010.5,13.5,3.3,4.9
15-Jul-42,16.9,9.3,8.3,2,1009.9,15.4,1.4,2.4
16-Jul-42,18.2,11.4,12.2,0.3,1005.6,18.2,2.7,4.2
17-Jul-42,16.2,10.6,10.2,0,1009,18.9,3.1,4.7
18-Jul-42,16.5,9.3,7.7,0,1012.8,15.2,3.5,5.6
19-Jul-42,21.7,9.7,7.2,0,1013.2,13.6,2.8,4
20-Jul-42,22.2,14.6,14.2,0,1013.2,14.7,2.8,4.1
21-Jul-42,22.2,14.5,15.6,0,1011.3,16.8,3.5,5.1
22-Jul-42,17.7,13.3,13.2,3,1002.1,26.3,1.8,3.2
23-Jul-42,19.1,12.2,11.3,1.1,1000.3,19.2,2.9,4.5
24-Jul-42,20.2,10.4,11.7,0.7,1000,21,2.6,4.3
25-Jul-42,16.9,9.1,6.9,5.2,1001.2,12.2,2.7,4.2
26-Jul-42,16.4,9.2,7.1,7.7,1000.1,11,1.6,2.3
27-Jul-42,18.4,10.7,11.1,5,1003.5,7.6,2.7,3.9
28-Jul-42,18.8,10,3.9,6.9,1008.1,6.1,1.9,2.5
29-Jul-42,19.9,11.7,10.1,0.4,1008.8,9.8,3.7,5.3
30-Jul-42,18.8,10.2,7.7,0,1014.8,5.5,3.6,5.1
31-Jul-42,21.2,11.2,9.9,0,1010.3,6.4,3.3,4.6
1-Aug-42,20.3,9.9,4.8,0,1003.7,5,2.3,3.1
2-Aug-42,14.8,12.6,10.9,29.3,999.1,2,1.4,1.8
3-Aug-42,16.1,12.1,12.3,3.1,1004.1,8.8,1.7,2.4
4-Aug-42,16.2,8.5,7.4,0,1012,9.5,2.4,3.4
5-Aug-42,15.5,10.7,10.1,0,1015,6.5,1.9,2.5
6-Aug-42,20.1,11.2,7.1,0.5,1011.8,6,2.5,3.3
7-Aug-42,22.3,14.7,14,0.9,1004.2,9.9,2.5,3.4
8-Aug-42,19.8,13.1,14.2,11.1,995.8,10.7,1.8,2.6
9-Aug-42,20.6,11.9,10.5,1,999.8,11.8,2.9,4.2
10-Aug-42,19.8,13.4,13.1,4.7,993.2,19.8,2.5,3.8
11-Aug-42,18.3,11.6,11.8,0.8,996,19.8,2.5,4
12-Aug-42,15.6,11.1,10.1,0.3,1002,14,1.7,2.7
13-Aug-42,17.7,10.2,8.4,0.4,1003.2,9.4,1.5,2.2
14-Aug-42,18.4,10.6,5.6,0,1003.6,6.8,2.4,3.5
15-Aug-42,21.7,12.8,9,7.5,1001.8,12.8,2.1,3
16-Aug-42,18.2,8.8,7.2,0,1008.3,15,2.7,4.2
17-Aug-42,18.9,12.9,11.1,0,1006.8,16.8,3,4.1
18-Aug-42,17.1,13.8,12.8,0.2,998,17.2,2.3,3.2
19-Aug-42,19.4,11.7,9.9,0.1,992.7,16.9,3.1,4.8
20-Aug-42,17.2,10.8,9.1,0,998.2,19.5,3,4.6
21-Aug-42,21.2,9,6.8,0.5,997.1,15,2.4,3.6
22-Aug-42,17.1,10.1,11.7,0.1,999.5,13.9,1.9,2.7
23-Aug-42,16.6,6.7,4.9,0,1006.8,6.8,1.7,2.5
24-Aug-42,15.6,10.5,4.6,9.7,1000.2,10,1.1,1.7
25-Aug-42,18.8,13.3,13.7,15.1,994.5,8.2,1.6,2.1
26-Aug-42,18.6,12.2,7.7,0,1002.6,8.6,2.3,3.5
27-Aug-42,19.9,8.3,5.4,0.1,1009.7,4.3,2.4,3.2
28-Aug-42,21.7,12.6,9.3,0,1006.3,4.7,3,4
29-Aug-42,18.1,12.7,11.4,1,1003,5.6,1.4,1.9
30-Aug-42,14.4,12.3,13.3,6.4,1000.5,10.5,1,1.6
31-Aug-42,20.7,12.6,12,0.2,997.2,8.6,1.8,2.4
1-Sep-42,17.3,10.2,8.3,0.2,997.2,10.2,1.9,2.6
2-Sep-42,17.8,10.7,8.9,0.6,994.7,10.7,1.8,2.8
3-Sep-42,18.3,10.6,13.9,3,992.7,15.5,2.4,3.7
4-Sep-42,16.9,9.4,7.7,2.1,1000,21.5,2.1,3.4
5-Sep-42,18.1,10.1,12.3,11.5,998.9,20.3,2.2,3.7
6-Sep-42,16.8,9.2,7.8,0,1009.8,12.8,2.7,3.9
7-Sep-42,18.4,10.6,9.4,0.2,1012.2,14.8,2.1,2.8
8-Sep-42,21.1,12.8,11.1,0.3,1011.5,13.2,2.3,3.2
9-Sep-42,18.2,8.2,6.8,0,1016.5,11.2,1.9,3.1
10-Sep-42,20.5,7.2,4.4,0,1018,8.6,2.6,3.6
11-Sep-42,18.8,7.6,2.8,0,1014.1,3.2,1.6,2.2
12-Sep-42,16.1,10.6,9.3,0,1015.2,7.3,2.1,3
13-Sep-42,16.6,8.8,6.1,0,1013.8,8,1.1,1.6
14-Sep-42,18.6,12.2,10.1,1.3,1009.5,11.3,1.8,2.3
15-Sep-42,16.3,8.5,7,0,1011,18.2,2.5,3.9
16-Sep-42,17.6,7.5,5.7,0,1012.8,15.6,1.7,2.6
17-Sep-42,19.1,12.2,12.1,0,1010.1,15,1.8,2.5
18-Sep-42,16,10.5,9.9,6.2,1007.2,11.8,1,1.5
19-Sep-42,14,9.7,9.6,5.1,1001.3,6.2,0.9,1.2
20-Sep-42,15.6,11.1,11.6,17.5,992.3,11.2,1.1,1.5
21-Sep-42,12.4,9.8,9.4,5.1,989,19.6,1.1,1.8
22-Sep-42,14.4,8.3,7.4,1.7,990.2,17,1.4,2.1
23-Sep-42,12.8,8.1,6.3,2.9,981.7,19.7,1.9,3
24-Sep-42,13.8,6.4,6.2,6,986.8,11,1.5,2.2
25-Sep-42,8.1,2.4,3.2,5,997,12,1,1.6
26-Sep-42,13,0.6,-1.2,0,1003.1,4.5,1.4,1.9
27-Sep-42,15.4,6.1,2.3,0.8,997.5,9.6,1.9,2.5
28-Sep-42,12,9.4,8.3,32.8,988.2,10.9,0.7,1.1
29-Sep-42,12.7,9.2,9.3,16.7,985.6,11.2,0.7,1.1
30-Sep-42,13.9,9.5,8.2,3.4,993.2,15.9,1.4,2
1-Oct-42,15.5,9.8,7.5,0,1006.2,11.3,1.5,2.1
2-Oct-42,12.9,4.4,2.8,0,1016.3,3.8,0.9,1.2
3-Oct-42,15.1,7.6,3.7,0,1011.7,7.2,1,1.4
4-Oct-42,15.4,8.3,4.2,1.5,1003.6,8.8,1,1.4
5-Oct-42,14,5.6,9.1,0.7,1006.8,12.8,1.1,1.8
6-Oct-42,14.9,2.2,0.5,0,1013.4,7.5,1.4,2
7-Oct-42,14.3,5.4,-0.1,0.4,1004.5,12.7,1.2,1.6
8-Oct-42,12.2,5,3.3,0,1003,17.5,1.5,2.3
9-Oct-42,13.3,5,2.7,3.2,999.4,23.7,1,1.6
10-Oct-42,14.3,5.2,7.2,0.3,997.4,19.5,1,1.8
11-Oct-42,12.4,3.4,1.3,0,1007.6,11.5,1.2,1.8
12-Oct-42,13.7,3.9,3.8,0.2,1008.6,12.3,0.7,1.1
13-Oct-42,13.2,2.5,0.4,2.5,1009.4,10.5,1.1,1.5
14-Oct-42,19,10,6.9,0.7,1002.7,20.1,1.5,2.1
15-Oct-42,13.8,8.3,6.1,0,1006.8,23,1.8,2.6
16-Oct-42,15.2,10.6,8.8,0.1,1013.2,19.5,1.6,2.1
17-Oct-42,16.7,10.7,8.9,0,1010.2,19.5,1.2,1.7
18-Oct-42,16.1,12.4,12.1,0.2,1008,15.9,0.7,1.1
19-Oct-42,17.9,9.4,8.3,0,1007.6,5.6,0.8,1
20-Oct-42,12.9,5.7,5.7,0.7,1005.5,10.7,0.6,1
21-Oct-42,13.3,5.3,3.6,2.8,1006.8,17.5,0.5,0.9
22-Oct-42,14.7,10.4,12.6,4.7,1002.7,17.5,0.7,1
23-Oct-42,12.1,8.2,9.3,3.3,998.9,9.9,0.7,1
24-Oct-42,10.2,4.4,3.9,0.4,992.5,19.5,1.1,1.6
25-Oct-42,6.3,2.1,-1,6.3,986.2,8.7,0.5,0.7
26-Oct-42,9.8,0.2,-1.1,0,981.4,10,0.8,1.1
27-Oct-42,8.2,2.3,0.6,0.2,984.5,8.3,0.6,0.9
28-Oct-42,11.7,0.7,-6.1,0,992.2,2.6,0.4,0.7
29-Oct-42,10.7,3.2,-3.9,1.9,994.7,12.1,0.8,1.1
30-Oct-42,8.1,5,4.3,2.4,996.8,13,1.1,1.4
31-Oct-42,7.9,2.4,3.3,0.5,998.2,7.7,0.8,1
1-Nov-42,6.9,0.2,-1.3,2.9,1000,5.2,0.5,0.7
2-Nov-42,8.2,-1.3,-2.8,0,1001.8,4.4,0.4,0.6
3-Nov-42,8.4,0.9,0.3,0,1005.7,6,0.5,0.7
4-Nov-42,9.8,-2.9,-3.9,0,1004.1,2.9,0.3,0.6
5-Nov-42,6.7,1.7,-6.8,0.6,997.8,4.3,0.4,0.5
6-Nov-42,12.8,3.1,1.3,2.2,991.5,16.2,0.8,1.1
7-Nov-42,10,4.1,1.7,0.4,997.5,16.4,1,1.3
8-Nov-42,11.1,2.4,0.6,0,1008.6,11.3,0.6,0.8
9-Nov-42,12.7,5.6,2.8,0,1013.6,12.8,1.2,1.4
10-Nov-42,10.9,2.2,7.2,2.9,1014.3,10.8,0.5,0.7
11-Nov-42,10.7,-0.1,-2.4,0.3,1013.1,8.6,0.4,0.5
12-Nov-42,8.4,0.7,-0.2,0.1,1015.4,13,0.4,0.5
13-Nov-42,8.7,-0.8,-2.3,0,1025.8,9.5,0.4,0.5
14-Nov-42,7.4,3.1,-0.4,0.1,1027.8,9.5,0.3,0.4
15-Nov-42,10.2,3,5.5,0,1024.6,8.9,0.4,0.5
16-Nov-42,8.4,1,-0.3,0,1026.9,9.3,0.5,0.6
17-Nov-42,6.6,-1,-2.7,0,1027.5,9.2,0.3,0.4
18-Nov-42,8,0.7,-1.7,0,1024.1,9.7,0.5,0.7
19-Nov-42,7.4,4.1,5,0,1021.5,7.3,0.6,0.7
20-Nov-42,9.1,2.4,1.1,0,1020.4,11.5,0.4,0.5
21-Nov-42,6.9,2.8,1.6,0,1022.9,10.3,0.8,0.9
22-Nov-42,4.3,-0.6,1.7,0,1026.2,5.2,0.6,0.8
23-Nov-42,6.1,-2.2,-4.2,0,1027.4,11.5,0.6,0.7
24-Nov-42,9.1,3.3,2.8,0,1029.5,4.8,0.4,0.6
25-Nov-42,9.1,6.4,5.4,0,1029.4,4.7,0.6,0.7
26-Nov-42,7.7,5.1,4.8,0,1025.5,6.4,0.7,0.9
27-Nov-42,8.7,4.3,1.1,0,1019.3,7.6,0.6,0.7
28-Nov-42,8.2,2.8,1.7,0,1013.8,6.4,0.4,0.5
29-Nov-42,7.7,1.9,-0.6,0.1,1009.7,13.3,0.5,0.6
30-Nov-42,5.9,-1.4,-1.6,0.1,1005.2,10.5,0.3,0.5
1-Dec-42,8.2,2.3,3.3,4.6,1000.7,10.8,0.4,0.5
2-Dec-42,4.9,-0.7,-2.8,3.9,1005.2,3.4,0.2,0.2
3-Dec-42,7.1,3.9,1.5,0.2,1006.7,3.9,0.2,0.3
4-Dec-42,11.1,3.9,2.6,5,998.8,11.1,0.5,0.7
5-Dec-42,8.1,2.6,1.7,0.8,994.8,19.1,0.6,0.7
6-Dec-42,12.3,3.4,1.4,0.2,1001.2,18.4,0.5,0.7
7-Dec-42,12.8,9.1,9.6,0,998.9,24.8,1,1.3
8-Dec-42,12.6,7.8,6.1,0.8,1003.9,21.2,0.8,1.1
9-Dec-42,13.4,7.3,9.2,3.1,994.7,25.1,1.1,1.5
10-Dec-42,13.3,5.6,4,3.7,985.2,15.2,0.8,1
11-Dec-42,9.8,4.9,2.4,0,987.3,10.3,0.6,0.6
12-Dec-42,10.6,1.8,-0.4,2.7,992.1,13.2,0.4,0.4
13-Dec-42,12.4,8.7,6.9,1.3,982.2,26,1.4,1.8
14-Dec-42,10.6,5.2,1.3,3.2,984.4,17,0.6,0.8
15-Dec-42,9.7,6.1,4.1,1.8,979.8,12.9,0.6,0.7
16-Dec-42,12.3,8.3,2.8,9.3,975.2,22.3,1.1,1.3
17-Dec-42,10.8,5.9,5,0.2,977.9,10.1,0.7,0.8
18-Dec-42,9.4,3.6,-0.6,0,987.8,8.8,0.2,0.2
19-Dec-42,9.4,2.3,-0.9,3.5,992.7,13.2,0.4,0.5
20-Dec-42,11.9,5.3,1.9,5.9,994.2,18.7,0.9,1.2
